X_wgs29 Y_wgs29
 603995 4165513
 604005 4165513
 604015 4165513
 604025 4165513
 604035 4165513
 604045 4165513
 604055 4165513
 604065 4165513
 604075 4165513
 604085 4165513
 604095 4165513
 604105 4165513
 604115 4165513
 604125 4165513
 604135 4165513
 604145 4165513
 604155 4165513
 604165 4165513
 604175 4165513
 604185 4165513
 604195 4165513
 604205 4165513
 604215 4165513
 604225 4165513
 604235 4165513
 604245 4165513
 604255 4165513
 604265 4165513
 604275 4165513
 604285 4165513
 604295 4165513
 604305 4165513
 604315 4165513
 604325 4165513
 604335 4165513
 604345 4165513
 604355 4165513
 604365 4165513
 604375 4165513
 604385 4165513
 604395 4165513
 604405 4165513
 604415 4165513
 604425 4165513
 604435 4165513
 604445 4165513
 604455 4165513
 604465 4165513
 604475 4165513
 604485 4165513
 604495 4165513
 604505 4165513
 604515 4165513
 604525 4165513
 604535 4165513
 604545 4165513
 604555 4165513
 604565 4165513
 604575 4165513
 604585 4165513
 603995 4165503
 604005 4165503
 604015 4165503
 604025 4165503
 604035 4165503
 604045 4165503
 604055 4165503
 604065 4165503
 604075 4165503
 604085 4165503
 604095 4165503
 604105 4165503
 604115 4165503
 604125 4165503
 604135 4165503
 604145 4165503
 604155 4165503
 604165 4165503
 604175 4165503
 604185 4165503
 604195 4165503
 604205 4165503
 604215 4165503
 604225 4165503
 604235 4165503
 604245 4165503
 604255 4165503
 604265 4165503
 604275 4165503
 604285 4165503
 604295 4165503
 604305 4165503
 604315 4165503
 604325 4165503
 604335 4165503
 604345 4165503
 604355 4165503
 604365 4165503
 604375 4165503
 604385 4165503
 604395 4165503
 604405 4165503
 604415 4165503
 604425 4165503
 604435 4165503
 604445 4165503
 604455 4165503
 604465 4165503
 604475 4165503
 604485 4165503
 604495 4165503
 604505 4165503
 604515 4165503
 604525 4165503
 604535 4165503
 604545 4165503
 604555 4165503
 604565 4165503
 604575 4165503
 604585 4165503
 603995 4165493
 604005 4165493
 604015 4165493
 604025 4165493
 604035 4165493
 604045 4165493
 604055 4165493
 604065 4165493
 604075 4165493
 604085 4165493
 604095 4165493
 604105 4165493
 604115 4165493
 604125 4165493
 604135 4165493
 604145 4165493
 604155 4165493
 604165 4165493
 604175 4165493
 604185 4165493
 604195 4165493
 604205 4165493
 604215 4165493
 604225 4165493
 604235 4165493
 604245 4165493
 604255 4165493
 604265 4165493
 604275 4165493
 604285 4165493
 604295 4165493
 604305 4165493
 604315 4165493
 604325 4165493
 604335 4165493
 604345 4165493
 604355 4165493
 604365 4165493
 604375 4165493
 604385 4165493
 604395 4165493
 604405 4165493
 604415 4165493
 604425 4165493
 604435 4165493
 604445 4165493
 604455 4165493
 604465 4165493
 604475 4165493
 604485 4165493
 604495 4165493
 604505 4165493
 604515 4165493
 604525 4165493
 604535 4165493
 604545 4165493
 604555 4165493
 604565 4165493
 604575 4165493
 604585 4165493
 603995 4165483
 604005 4165483
 604015 4165483
 604025 4165483
 604035 4165483
 604045 4165483
 604055 4165483
 604065 4165483
 604075 4165483
 604085 4165483
 604095 4165483
 604105 4165483
 604115 4165483
 604125 4165483
 604135 4165483
 604145 4165483
 604155 4165483
 604165 4165483
 604175 4165483
 604185 4165483
 604195 4165483
 604205 4165483
 604215 4165483
 604225 4165483
 604235 4165483
 604245 4165483
 604255 4165483
 604265 4165483
 604275 4165483
 604285 4165483
 604295 4165483
 604305 4165483
 604315 4165483
 604325 4165483
 604335 4165483
 604345 4165483
 604355 4165483
 604365 4165483
 604375 4165483
 604385 4165483
 604395 4165483
 604405 4165483
 604415 4165483
 604425 4165483
 604435 4165483
 604445 4165483
 604455 4165483
 604465 4165483
 604475 4165483
 604485 4165483
 604495 4165483
 604505 4165483
 604515 4165483
 604525 4165483
 604535 4165483
 604545 4165483
 604555 4165483
 604565 4165483
 604575 4165483
 604585 4165483
 603995 4165473
 604005 4165473
 604015 4165473
 604025 4165473
 604035 4165473
 604045 4165473
 604055 4165473
 604065 4165473
 604075 4165473
 604085 4165473
 604095 4165473
 604105 4165473
 604115 4165473
 604125 4165473
 604135 4165473
 604145 4165473
 604155 4165473
 604165 4165473
 604175 4165473
 604185 4165473
 604195 4165473
 604205 4165473
 604215 4165473
 604225 4165473
 604235 4165473
 604245 4165473
 604255 4165473
 604265 4165473
 604275 4165473
 604285 4165473
 604295 4165473
 604305 4165473
 604315 4165473
 604325 4165473
 604335 4165473
 604345 4165473
 604355 4165473
 604365 4165473
 604375 4165473
 604385 4165473
 604395 4165473
 604405 4165473
 604415 4165473
 604425 4165473
 604435 4165473
 604445 4165473
 604455 4165473
 604465 4165473
 604475 4165473
 604485 4165473
 604495 4165473
 604505 4165473
 604515 4165473
 604525 4165473
 604535 4165473
 604545 4165473
 604555 4165473
 604565 4165473
 604575 4165473
